leeftijd;geslacht;score_min;punt
14;M;1;1
14;V;1;1
14;M;2;2
14;V;2;2
14;M;3;3
14;V;3;3
14;M;5;4
14;V;5;4
14;M;6;5
14;V;6;5
14;M;8;6
14;V;8;6
14;M;9;7
14;V;9;7
14;M;11;8
14;V;11;8
14;M;13;9
14;V;13;9
14;M;15;10
14;V;15;10
14;M;17;11
14;V;17;11
14;M;18;12
14;V;18;12
14;M;20;13
14;V;20;13
14;M;21;14
14;V;21;14
14;M;23;15
14;V;23;15
14;M;24;16
14;V;24;16
14;M;26;17
14;V;26;17
14;M;27;18
14;V;27;18
14;M;29;19
14;V;29;19
14;M;30;20
14;V;30;20
15;M;1;1
15;V;1;1
15;M;3;2
15;V;3;2
15;M;5;3
15;V;5;3
15;M;7;4
15;V;7;4
15;M;9;5
15;V;9;5
15;M;11;6
15;V;11;6
15;M;13;7
15;V;13;7
15;M;15;8
15;V;15;8
15;M;17;9
15;V;17;9
15;M;20;10
15;V;20;10
15;M;22;11
15;V;22;11
15;M;24;12
15;V;24;12
15;M;26;13
15;V;26;13
15;M;28;14
15;V;28;14
15;M;30;15
15;V;30;15
15;M;32;16
15;V;32;16
15;M;34;17
15;V;34;17
15;M;36;18
15;V;36;18
15;M;38;19
15;V;38;19
15;M;40;20
15;V;40;20
16;M;2;1
16;V;2;1
16;M;4;2
16;V;4;2
16;M;6;3
16;V;6;3
16;M;8;4
16;V;8;4
16;M;11;5
16;V;11;5
16;M;13;6
16;V;13;6
16;M;16;7
16;V;16;7
16;M;18;8
16;V;18;8
16;M;21;9
16;V;21;9
16;M;25;10
16;V;25;10
16;M;28;11
16;V;28;11
16;M;30;12
16;V;30;12
16;M;33;13
16;V;33;13
16;M;35;14
16;V;35;14
16;M;38;15
16;V;38;15
16;M;40;16
16;V;40;16
16;M;43;17
16;V;43;17
16;M;45;18
16;V;45;18
16;M;48;19
16;V;48;19
16;M;50;20
16;V;50;20
17;M;3;1
17;V;3;1
17;M;6;2
17;V;6;2
17;M;9;3
17;V;9;3
17;M;12;4
17;V;12;4
17;M;15;5
17;V;15;5
17;M;18;6
17;V;18;6
17;M;21;7
17;V;21;7
17;M;24;8
17;V;24;8
17;M;27;9
17;V;27;9
17;M;30;10
17;V;30;10
17;M;33;11
17;V;33;11
17;M;36;12
17;V;36;12
17;M;39;13
17;V;39;13
17;M;42;14
17;V;42;14
17;M;45;15
17;V;45;15
17;M;48;16
17;V;48;16
17;M;51;17
17;V;51;17
17;M;54;18
17;V;54;18
17;M;57;19
17;V;57;19
17;M;60;20
17;V;60;20
